ID_aeroport;Nom_aeroport;Code_aeroport;Ville;Pays
315;Gimhae International Airport;RKPK;Busan;KR-26
316;Incheon International Airport;RKSI;Seoul;KR-28
317;Gimpo International Airport;RKSS;Seoul;KR-11
318;Naha Airport / JASDF Naha Air Base;ROAH;Naha;JP-47
319;Kadena Air Base;RODN;;JP-47
320;Ninoy Aquino International Airport;RPLL;;PH-00
321;Francisco Bangoy International Airport;RPMD;;PH-DAS
322;Mactan Cebu International Airport;RPVM;;PH-CEB
323;Lipetsk Air Base;RU-0016;;RU-LIP
324;Jorge Newbery Airpark;SABE;;AR-C
325;Minister Pistarini International Airport;SAEZ;;AR-B
326;Val de Cans/JÃºlio Cezar Ribeiro International Airport;SBBE;;BR-PA
327;Presidente Juscelino Kubitschek International Airport;SBBR;;BR-DF
328;Tancredo Neves International Airport;SBCF;;BR-MG
329;Eduardo Gomes International Airport;SBEG;;BR-AM
330;HercÃ­lio Luz International Airport;SBFL;;BR-SC
331;Rio GaleÃ£o â€“ Tom Jobim International Airport;SBGL;;BR-RJ
332;Guarulhos - Governador AndrÃ© Franco Montoro International Airport;SBGR;;BR-SP
333;Deputado Luiz Eduardo MagalhÃ£es International Airport;SBSV;;BR-BA
334;Comodoro Arturo Merino BenÃ­tez International Airport;SCEL;;CL-RM
335;JosÃ© JoaquÃ­n de Olmedo International Airport;SEGU;;EC-G
336;Mariscal Sucre International Airport;SEQM;;EC-P
337;Aeropuerto Internacional Silvio Pettirossi;SGAS;;PY-11
338;Aeropuerto Internacional GuaranÃ­;SGES;;PY-10
339;Aeropuerto Internacional Dr. Luis Maria ArgaÃ±a;SGME;;PY-19
340;Aeropuerto Internacional Dr. Augusto Roberto Fuster;SGPJ;;PY-13
341;El Dorado International Airport;SKBO;;CO-CUN
342;Viru Viru International Airport;SLVR;;BO-S
343;Johan Adolf Pengel International Airport;SMJP;;SR-PR
344;Cayenne â€“ FÃ©lix EbouÃ© Airport;SOCA;;GF-CY
345;Jorge ChÃ¡vez International Airport;SPIM;;PE-LIM
346;Alejandro Velasco Astete International Airport;SPZO;;PE-CUS
347;Carrasco General CesÃ¡reo L. Berisso International Airport;SUMU;;UY-CA
348;General JosÃ© Antonio Anzoategui International Airport;SVBC;;VE-B
