ID_aeroport;Nom_aeroport;Code_aeroport;Ville;Pays
187;Lyon Saint-ExupÃ©ry Airport;LFLL;Lyon;FR-ARA
188;Marseille Provence Airport;LFML;Marseille;FR-PAC
189;Nice-CÃ´te d'Azur Airport;LFMN;Nice;FR-PAC
190;Charles de Gaulle International Airport;LFPG;Paris;FR-IDF
191;Paris-Orly Airport;LFPO;Paris;FR-IDF
192;EuroAirport Basel-Mulhouse-Freiburg Airport;LFSB;BÃ¢le/Mulhouse;FR-GES
193;Athens Eleftherios Venizelos International Airport;LGAV;Athens;GR-I
194;Heraklion International Nikos Kazantzakis Airport;LGIR;Heraklion;GR-M
195;Thessaloniki Macedonia International Airport;LGTS;Thessaloniki;GR-B
196;Budapest Liszt Ferenc International Airport;LHBP;Budapest;HU-PE
197;Bari Karol WojtyÅ‚a Airport;LIBD;Bari;IT-75
198;Brindisi Airport;LIBR;Brindisi;IT-75
199;Catania-Fontanarossa Airport;LICC;Catania;IT-82
200;Falconeâ€“Borsellino Airport;LICJ;Palermo;IT-82
201;Cagliari Elmas Airport;LIEE;Cagliari;IT-88
202;Malpensa International Airport;LIMC;Milan;IT-25
203;Milan Bergamo Airport;LIME;Milan;IT-25
204;Turin Airport;LIMF;Torino;IT-21
205;Bologna Guglielmo Marconi Airport;LIPE;Bologna;IT-45
206;Verona-Villafranca Valerio Catullo Airport;LIPX;Villafranca di Verona;IT-34
207;Venice Marco Polo Airport;LIPZ;Venice;IT-34
208;Romeâ€“Fiumicino Leonardo da Vinci International Airport;LIRF;Rome;IT-62
209;Naples International Airport;LIRN;Napoli;IT-72
210;Pisa International Airport;LIRP;Pisa;IT-52
211;Ljubljana JoÅ¾e PuÄnik Airport;LJLJ;Ljubljana;SI-061
212;VÃ¡clav Havel Airport Prague;LKPR;Prague;CZ-PR
213;Ben Gurion International Airport;LLBG;Tel Aviv;IL-M
214;Ramon International Airport;LLER;Eilat;IL-D
215;Malta International Airport;LMML;Valletta;MT-25
216;Vienna International Airport;LOWW;Vienna;AT-9
217;Faro Airport;LPFR;Faro;PT-08
218;JoÃ£o Paulo II Airport;LPPD;Ponta Delgada;PT-20
219;Francisco de SÃ¡ Carneiro Airport;LPPR;Porto;PT-13
220;Humberto Delgado Airport (Lisbon Portela Airport);LPPT;Lisbon;PT-11
221;Henri CoandÄƒ International Airport;LROP;Bucharest;RO-IF
222;Geneva Cointrin International Airport;LSGG;Geneva;CH-GE
223;ZÃ¼rich Airport;LSZH;Zurich;CH-ZH
224;EsenboÄŸa International Airport;LTAC;Ankara;TR-06
225;Antalya International Airport;LTAI;Antalya;TR-07
